name;Iframe injection;Needs unlock;Revocation unsafe (Y);id;users;rating
MetaMask;Y;N;N;nkbihfbeogaeaoehlefnkodbefgpgknn;14000000;2.7
Phantom;Y;N;Y;bfnaelmomeimhlpmgjnjophhpkkoljpa;5000000;3.8
OKX Wallet;Y;N;Y;mcohilncbfahbmgdjkbpemcciiolgcge;2000000;4.5
Ronin Wallet;Y;Y;Y;fnjhmkhhmkbjkkabndcnnogagogbneec;1000000;2.9
Keplr;Y;Y;N;dmkamcknogkgcdfhhbddcghachkejeap;1000000;4.8
Trust Wallet;Y;N;Y;egjidjbpglichdcondbcbdnbeeppgdph;1000000;3.2
Coinbase Wallet extension;Y;N;Y;hnfanknocfeofbddgcijnmhnfnkdnaad;1000000;2.7
Rabby Wallet;Y;Y;N;acmacodkjbdgmoleebolmdjonilkdbch;900000;3.9
Backpack;Y;N;Y;aflkmfhebedbjioipglgcbcmnbpgliof;600000;4.5
Bybit Wallet;Y;Y;Y;pdliaogehgdbhbnmkklieghmmjkpigpa;200000;3.4
Leap Wallet;Y;Y;N;fcfcfllfndlomdhbehjjcoimbgofdncg;200000;4.1
SubWallet - Polkadot Wallet;Y;N;N;onhogfjeacnfoofkfgppdlbmlmnplgbn;200000;4.6
Zerion Wallet: Crypto & DeFi;Y;Y;Y;klghhnkeealcohjjanjjdaeeggmfmlpl;100000;4.7
Coin98 Wallet Extension: Crypto & Defi;Y;N;Y;aeachknmefphepccionboohckonoeemg;100000;4.7
Gate Wallet;Y;N;Y;cpmkedoipcpimgecpmgpldfpohjplkpp;100000;4.2
Pontem Crypto Wallet - Eth, Sol, BTC +;Y;N;Y;phkbamefinggmakgklpkljjmgibohnba;100000;4.9
Binance Wallet;Y;N;N;cadiboklkpojfamcoggejbbdjcoiljjk;70000;4.7
Core Wallet: Crypto Made Easy;Y;Y;Y;agoakfejjabomempkjlepdflaleeobhb;60000;3.8
MathWallet;Y;N;Y;afbcbjpbpfadlkmhmclhkeeodmamcflc;50000;3.4
Wigwam — Web3 Wallet;Y;Y;Y;lccbohhgfkdikahanoclbdmaolidjdfl;20000;4.7
Fin Wallet For Sei;Y;N;Y;dbgnhckhnppddckangcjbkjnlddbjkna;20000;3.4
Hana Wallet;Y;Y;Y;jfdlamikmbghhapbgfoogdffldioobgl;10000;4.6
Bitget Wallet - Crypto, Web3 | Bitcoin & USDT;N;;Y;jiidiaalihmmhddjgbnbgdfflelocpak;400000;3.5
Ctrl Wallet;N;;N;hmeobnfnfcmdkdcmlblgagmfpfboieaf;300000;4.7
Portal DEX;N;;Y;ieldiilncjhfkalnemgjbffmpomcaigi;100000;4.6
Exodus Web3 Wallet;N;;N;aholpfdialjgjfhomihkjbmgjidlcdno;100000;3.4
StarKey Wallet - The official wallet for Supra;N;;N;hcjhpkgbmechpabifbggldplacolbkoh;100000;4.6
Rainbow;N;;N;opfgelmcmbiajamepnmloijbpoleiama;100000;4.3
TokenPocket - Web3 & Crypto Wallet;N;;Y;mfgccjchihfkkindfppnaooecgfneiii;90000;3.4
Enkrypt: ETH, BTC and Solana Wallet;N;;Y;kkpllkodjeloidieedojogacfhpaihoh;50000;4.3
QSafe wallet;N;;Y;opnnmgopaggjpapnoknbphfpjfadbddc;30000;4.9
OneKey: Secure Crypto Wallet;N;;N;jnmbobjmhlngoefaiojfljckilhhlhcj;30000;4.8
Fluvi Wallet;N;;N;mmmjbcfofconkannjonfmjjajpllddbg;20000;2.8
Stargazer Wallet;N;;Y;pgiaagfkgcbnmiiolekcfmljdagdhlcm;10000;3.7
Flow Wallet;N;;N;hpclkefagolihohboafpheddmmgdffjm;10000;4.5
Koala Wallet;N;;N;lnnnmfcpbkafcpgdilckhmhbkkbpkmid;10000;4.9
;Iframe_Inject = 22;;Revocation_Unsafe = 22;;29080000;